title,isbn10,isbn13,purchase_cost,shipping_cost,processing_cost,net_buying_cost
Cooking for Fifty: The Complete Reference and Cookbook,047157015X,9780471570158,5.42,3.99,2,11.41
Food for Fifty (14th Edition) (What's New in Culinary & Hospitality),0134437187,9780134437187,137.31,3.99,2,143.3
"The America's Test Kitchen Quick Family Cookbook: A Faster, Smarter Way to Cook Everything from America's Most Trusted Test Kitchen",1933615990,9781933615998,10.0,3.99,2,15.99
"Classical Cooking The Modern Way: Methods and Techniques, Third Edition",0471291870,9780471291879,6.73,3.99,2,12.72
Introduction to Optimal Estimation (Advanced Textbooks in Control and Signal Processing),185233133X,9781852331337,80.98,3.99,2,86.97
Peter Reinhart's Artisan Breads Every Day,1580089984,8601421527620,4.91,3.99,2,10.9
CHEMISTRY 2012 STUDENT EDITION (HARD COVER) GRADE 11,0132525763,9780132525763,76.8,3.99,2,82.79
Culinary Calculations: Simplified Math for Culinary Professionals,0471748161,9780471748168,26.49,3.99,2,32.48
Dr. Jekyll and Mr. Hyde: A Kaplan SAT Score-Raising Classic (Kaplan Test Prep),1607148633,8581000050377,6.0,3.99,2,11.99
Successful Coaching-4th Edition,1450400515,9781450400510,16.77,3.99,2,22.76
Understanding Motor Controls,1305498127,9781305498129,100.0,3.99,2,105.99
Massey Ferguson Shop Manual Models  MF362 365 375 383 390+,0872885208,9780872885202,30.87,3.99,2,36.86
Electrical Motor Controls for Integrated Systems,0826912265,9780826912268,85.9,3.99,2,91.89
"Electrical Control for Machines, 6E",0766861988,9780766861985,11.88,3.99,2,17.87
Essentials of Professional Cooking,1118998707,9781118998700,24.62,3.99,2,30.61
Meal Service Study Course,0813827639,9780813827636,5.02,3.99,2,11.01
"Electrical Machines, Drives and Power Systems (6th Edition)",0131776916,9780131776913,99.0,3.99,2,104.99
"Protective Relaying: Principles and Applications, Fourth Edition",1439888116,9781439888117,95.99,3.99,2,101.98
Strength and Conditioning for Sports Performance,0415578213,9780415578219,76.14,3.99,2,82.13
Fabrication Engineering at the Micro- and Nanoscale (The Oxford Series in Electrical and Computer Engineering),0199861226,9780199861224,100.0,3.99,2,105.99
"Weeknight Wonders: Delicious, Healthy Dinners in 30 Minutes or Less",1118409493,0884415880958,3.2,3.99,2,9.19
Transforming the School Counseling Profession (4th Edition) (Merrill Counseling (Hardcover)),0133351890,9780133351897,127.77,3.99,2,133.76
Living Ethics,1111186510,9781111186517,70.95,3.99,2,76.94
"Industrial Motor Control, 6th Edition",1435442393,9781435442399,16.4,3.99,2,22.39
History of Modern Design (2nd Edition) (Fashion Series),0205728502,9780205728503,70.04,3.99,2,76.03
Electricity for the Trades,0073134317,9780073134314,72.0,3.99,2,77.99
Electric Motor Control,1133702813,9781133702818,45.5,3.99,2,51.49
How to Think About Weird Things: Critical Thinking for a New Age,0078038367,9780078038365,30.63,3.99,2,36.62
Graphic Design: A New History,0300172605,0884898151897,30.35,3.99,2,36.34
Counseling Strategies and Interventions for Professional Helpers (9th Edition) (The Merrill Counseling Series),0133905225,9780133905229,68.01,3.99,2,74.0
Critical Thinking,1259690873,9781259690877,70.0,3.99,2,75.99
Queen of Scots: The True Life of Mary Stuart,0618619178,0046442619172,5.32,3.99,2,11.31
"A Medieval Life: Cecilia Penifader of Brigstock, c. 1295-1344",0072903317,9780072903317,31.95,3.99,2,37.94
Social and Personality Development,0495600385,9780495600381,41.64,3.99,2,47.63
Advanced Harmony: Theory and Practice (5th Edition),0130833398,9780130833396,18.95,3.99,2,24.94
Tonal Harmony,0078025141,9780078025143,53.0,3.99,2,58.99
Transforming the School Counseling Profession (5th Edition) (Merrill Counseling),0134610598,9780134610597,112.79,3.99,2,118.78
The Godwins: The Rise and Fall of a Noble Dynasty,0582784409,9780582784406,12.64,3.99,2,18.63
"The Interesting Narrative of the Life of Olaudah Equiano, or Gustavus Vassa, the African, Written by Himself (Norton Critical Editions)",0393974944,8601416937908,4.51,3.99,2,10.5
